工单号,创建时间,问题类型,渠道,处理人,工单状态,首次响应时间,处理时长,满意度,SLA
TK-001,2026-06-01,登录问题,在线客服,陈客服,已解决,0.5,3,5,达成
TK-002,2026-06-02,退款咨询,电话,王客服,处理中,2,30,3,超时
TK-003,2026-06-03,物流延迟,在线客服,陈客服,已解决,1,8,4,达成
TK-004,2026-06-04,系统报错,工单门户,李客服,未解决,4,42,2,超时
TK-005,2026-06-05,发票问题,电话,赵客服,已解决,0.8,6,5,达成
TK-006,2026-06-06,退款咨询,在线客服,王客服,已解决,1.5,18,3,达成
TK-007,2026-06-07,账号权限,工单门户,李客服,处理中,3,26,4,超时
TK-008,2026-06-08,物流延迟,在线客服,陈客服,已解决,0.7,5,5,达成
TK-009,2026-06-09,系统报错,电话,李客服,未解决,5,48,2,超时
TK-010,2026-06-10,商品质量,在线客服,赵客服,已解决,1,12,3,达成
TK-011,2026-06-11,退款咨询,在线客服,王客服,处理中,2.5,28,3,超时
TK-012,2026-06-12,账号权限,工单门户,李客服,已解决,1.2,9,4,达成
