编号,标题,工作项类型,优先级,状态,业务优先级,业务专项,版本,预计上线时间,创建时间,经办人,产品负责人,需求分类,一级分类,二级分类,三级分类
REQ-001,门店订单列表增加导出字段,系统需求,高,Backlog,1,订单体验,V1.2,2026-07-05,2026-06-01,张三,赵产品,销售/门店订单,销售,门店订单,
REQ-002,售后返利申请增加前置校验,系统需求,紧急,技术评审,1,返利治理,V1.2,2026-07-05,2026-06-01,李四,钱产品,财务/返利,财务,返利,
REQ-003,评价列表增加差评原因字段,系统需求,中,已发布/Released,2,体验治理,V1.1,2026-06-20,2026-05-12,王五,孙产品,电商/评价,电商,评价,
REQ-004,库存报表支持按门店筛选,系统需求,中,实现中/In Implementation,2,库存透明,V1.2,2026-07-05,2026-06-02,张三,赵产品,销售/库存,销售,库存,
REQ-005,客户档案同步失败重试,系统需求,高,已提测/Ready for Test,1,客户治理,V1.2,2026-07-05,2026-06-03,周六,吴产品,渠道/客户档案,渠道,客户档案,
REQ-006,订单详情隐藏敏感价格,系统需求,高,已发布/Released,1,订单体验,V1.1,2026-06-20,2026-05-16,郑七,赵产品,销售/门店订单,销售,门店订单,
REQ-007,广宣活动报名审批流,系统需求,中,PRD评审/PRD Review,3,广宣,V1.3,2026-07-19,2026-06-05,刘八,孙产品,日常/广宣,日常,广宣,
REQ-008,门店人员信息批量导入,系统需求,中,Backlog,3,客店人精细化,V1.3,2026-07-19,2026-06-06,李四,吴产品,渠道/人员档案,渠道,人员档案,
REQ-009,物流订单异常提醒,系统需求,高,已排期,2,物流履约,V1.2,2026-07-05,2026-06-06,王五,孙产品,电商/物流,电商,物流,
REQ-010,财务月结数据看板,系统需求,中,Backlog,2,财务看板,V1.3,2026-07-19,2026-06-07,钱九,钱产品,财务/看板,财务,看板,
REQ-011,工单处理时效统计,系统需求,高,已发布/Released,1,服务效率,V1.1,2026-06-20,2026-05-20,周六,孙产品,服务/工单,服务,工单,
REQ-012,服务商备件签收优化,系统需求,中,暂停/Paused,4,备件治理,V1.3,2026-07-19,2026-06-08,郑七,吴产品,服务/备件,服务,备件,
REQ-013,门店装修完成时间导出,系统需求,低,已发布/Released,4,门店档案,V1.1,2026-06-20,2026-05-21,刘八,吴产品,渠道/门店档案,渠道,门店档案,
REQ-014,售后抬头客户组配置,系统需求,高,技术评审,1,返利治理,V1.2,2026-07-05,2026-06-09,钱九,钱产品,财务/返利,财务,返利,
REQ-015,订单履约节点补充,系统需求,中,Backlog,2,物流履约,V1.3,2026-07-19,2026-06-10,张三,赵产品,电商/物流,电商,物流,
REQ-016,安全漏洞修复批次,系统需求,紧急,待发布,1,安全治理,V1.2,2026-07-05,2026-06-10,李四,吴产品,基础/安全,基础,安全,
REQ-017,过期活动自动下线,系统需求,中,已废弃/Discard,无,广宣,V1.0,2026-06-01,2026-05-10,刘八,孙产品,日常/广宣,日常,广宣,
REQ-018,审批流程标题优化,系统需求,低,已发布/Released,4,流程体验,V1.1,2026-06-20,2026-05-22,王五,吴产品,渠道/流程,渠道,流程,
REQ-019,库存预警阈值配置,系统需求,高,Backlog,1,库存透明,V1.3,2026-07-19,2026-06-11,郑七,赵产品,销售/库存,销售,库存,
REQ-020,门店评价红黑榜,系统需求,中,SIT/UAT测试,2,体验治理,V1.2,2026-07-05,2026-06-11,周六,孙产品,电商/评价,电商,评价,
