物料编码,物料名称,仓库,供应商,库存数量,月销量,库存金额,更新时间
SKU-001,标准电机A,华东仓,恒远机电,120,46,84000,2026-04-30
SKU-002,控制板B,华东仓,启明电子,0,38,0,2026-04-30
SKU-003,屏幕模组C,华南仓,启明电子,260,18,182000,2026-04-30
SKU-004,包装套件D,华北仓,佳合包装,850,90,42500,2026-04-30
SKU-005,传感器E,华东仓,恒远机电,-8,21,-5600,2026-04-30
SKU-006,线束F,华南仓,远航线缆,640,34,51200,2026-05-31
SKU-007,电源适配器G,华北仓,启明电子,310,28,124000,2026-05-31
SKU-008,外壳组件H,华东仓,佳合包装,980,12,137200,2026-05-31
SKU-009,主板I,华南仓,启明电子,72,40,216000,2026-05-31
SKU-010,螺丝包J,华北仓,佳合包装,1500,300,18000,2026-06-30
SKU-011,电池K,华东仓,恒远机电,25,70,75000,2026-06-30
SKU-012,摄像头L,华南仓,启明电子,410,15,246000,2026-06-30
